Xor Count = 230
x[32] = x[2] ^ x[6]	
x[33] = x[1] ^ x[6]	
x[34] = x[32] ^ x[7]	
x[35] = x[4] ^ x[7]	
x[36] = x[4] ^ x[8]	
x[37] = x[34] ^ x[8]	
x[38] = x[2] ^ x[9]	
x[39] = x[5] ^ x[9]	
x[40] = x[4] ^ x[9]	
x[41] = x[0] ^ x[9]	
x[42] = x[4] ^ x[10]	
x[43] = x[9] ^ x[10]	
x[44] = x[42] ^ x[11]	
x[45] = x[6] ^ x[11]	
x[46] = x[8] ^ x[11]	
x[47] = x[2] ^ x[11]	
x[48] = x[3] ^ x[12]	
x[49] = x[5] ^ x[12]	
x[50] = x[1] ^ x[13]	
x[51] = x[10] ^ x[13]	
x[52] = x[7] ^ x[14]	
x[53] = x[44] ^ x[14]	
x[54] = x[0] ^ x[15]	
x[55] = x[13] ^ x[16]	
x[56] = x[6] ^ x[16]	
x[57] = x[14] ^ x[16]	
x[58] = x[41] ^ x[16]	
x[59] = x[2] ^ x[17]	
x[60] = x[9] ^ x[17]	
x[61] = x[12] ^ x[17]	
x[62] = x[51] ^ x[17]	
x[63] = x[4] ^ x[18]	
x[64] = x[39] ^ x[18]	
x[65] = x[1] ^ x[18]	
x[66] = x[2] ^ x[18]	
x[67] = x[7] ^ x[19]	
x[68] = x[64] ^ x[19]	
x[69] = x[2] ^ x[19]	
x[70] = x[14] ^ x[19]	
x[71] = x[9] ^ x[20]	
x[72] = x[4] ^ x[20]	
x[73] = x[66] ^ x[20]	
x[74] = x[68] ^ x[21]	
x[75] = x[6] ^ x[21]	
x[76] = x[67] ^ x[22]	
x[77] = x[11] ^ x[22]	
x[78] = x[18] ^ x[22]	
x[79] = x[36] ^ x[22]	
x[80] = x[5] ^ x[22]	
x[81] = x[58] ^ x[22]	
x[82] = x[3] ^ x[23]	
x[83] = x[4] ^ x[23]	
x[84] = x[10] ^ x[23]	
x[85] = x[5] ^ x[24]	
x[86] = x[8] ^ x[24]	
x[87] = x[23] ^ x[24]	
x[88] = x[70] ^ x[24]	
x[89] = x[9] ^ x[25]	
x[90] = x[79] ^ x[25]	
x[91] = x[18] ^ x[25]	
x[92] = x[69] ^ x[25]	
x[93] = x[84] ^ x[25]	
x[94] = x[16] ^ x[25]	
x[95] = x[16] ^ x[26]	
x[96] = x[4] ^ x[26]	
